行政区,经度,纬度
海曙区,121.408025,29.922902
海曙区,121.395009,29.926308
海曙区,121.360898,29.884019
海曙区,121.392865,29.89988
海曙区,121.36019,29.813209
海曙区,121.392999,29.931931
海曙区,121.410636,29.920073
海曙区,121.38793,29.91761
海曙区,121.406469,29.914012
海曙区,121.39393,29.90317
海曙区,121.387016,29.882268
海曙区,121.354666,29.878849
海曙区,121.514902,29.830807
海曙区,121.359302,29.815934
海曙区,121.346844,29.790193
江北区,121.522447,29.988804
江北区,121.485997,29.974355
江北区,121.380513,29.956467
江北区,121.535601,29.941487
江北区,121.413005,30.024524
江北区,121.414101,29.970286
江北区,121.420664,30.020834
江北区,121.512395,29.981847
江北区,121.377047,29.974367
江北区,121.538666,29.96458
江北区,121.476557,29.96165
江北区,121.417865,29.952984
江北区,121.554256,29.928815
江北区,121.567668,29.906931
江北区,121.478991,29.99248
北仑区,121.775857,29.941891
北仑区,121.776109,29.950188
北仑区,121.829225,29.938782
北仑区,121.787541,29.937787
北仑区,121.931856,29.873641
北仑区,122.046704,29.842428
北仑区,121.965361,29.793279
北仑区,122.006184,29.78924
北仑区,121.971743,29.787952
北仑区,121.879144,29.777222
北仑区,121.921124,29.774204
北仑区,121.859546,29.748864
北仑区,121.97098,29.936379
北仑区,121.868209,29.902485
北仑区,121.709472,29.891335
北仑区,121.708724,29.890782
北仑区,121.768575,29.949871
北仑区,121.689138,29.93307
北仑区,121.955245,29.918668
北仑区,121.683376,29.909947
北仑区,121.682353,29.907751
北仑区,121.675995,29.885815
北仑区,121.677772,29.886117
北仑区,121.690637,29.873135
北仑区,121.906895,29.825918
北仑区,121.903142,29.835296
镇海区,121.508755,30.028058
镇海区,121.630843,30.007978
镇海区,121.646996,30.015775
镇海区,121.658239,30.012545
镇海区,121.565368,30.042689
镇海区,121.55428,30.050148
镇海区,121.537381,30.03028
镇海区,121.534055,30.019501
镇海区,121.537058,30.02305
镇海区,121.661325,30.018022
鄞州区,121.473369,29.715752
鄞州区,121.752131,29.84364
鄞州区,121.700771,29.824841
鄞州区,121.713311,29.808878
鄞州区,121.612958,29.827868
鄞州区,121.700562,29.822887
鄞州区,121.68639,29.813763
鄞州区,121.653957,29.806255
鄞州区,121.587268,29.80273
鄞州区,121.587138,29.797884
鄞州区,121.698701,29.801397
鄞州区,121.597682,29.751024
鄞州区,121.885125,29.739058
鄞州区,121.838403,29.730337
鄞州区,121.566868,29.699743
鄞州区,121.521384,29.754893
鄞州区,121.651019,29.859412
奉化区,121.32787,29.727903
奉化区,121.538907,29.67668
奉化区,121.384367,29.644733
奉化区,121.476382,29.636406
奉化区,121.414039,29.521317
奉化区,121.417018,29.702362
奉化区,121.557498,29.615248
奉化区,121.566868,29.699743
奉化区,121.261804,29.658163
奉化区,121.225343,29.636962
奉化区,121.548146,29.629372
奉化区,121.554072,29.615801
奉化区,121.733661,29.606031
奉化区,121.419234,29.60684
奉化区,121.423297,29.598888
奉化区,121.544417,29.600249
奉化区,121.572165,29.600282
奉化区,121.500246,29.586839
奉化区,121.433429,29.577821
奉化区,121.532493,29.558959
奉化区,121.532105,29.530144
奉化区,121.536574,29.517249
奉化区,121.41453,29.563221
奉化区,121.146714,29.56658
奉化区,121.495141,29.547057
奉化区,121.380051,29.540471
奉化区,121.418907,29.541154
奉化区,121.492954,29.537138
奉化区,121.494849,29.53662
奉化区,121.486867,29.534426
奉化区,121.424487,29.530715
奉化区,121.377299,29.531387
奉化区,121.379946,29.530574
奉化区,121.418914,29.513516
象山县,121.927382,29.538048
象山县,121.91963,29.537808
象山县,121.835334,29.478062
象山县,121.906066,29.396912
象山县,121.902486,29.395637
象山县,121.922892,29.309301
象山县,121.949873,29.279674
象山县,121.908911,29.272925
象山县,121.926991,29.553843
象山县,121.944195,29.54
象山县,121.925059,29.533911
象山县,121.937176,29.526155
象山县,121.905351,29.391848
象山县,121.847235,29.337854
象山县,121.857403,29.322074
象山县,121.920733,29.290851
象山县,121.916891,29.641322
象山县,121.847978,29.561019
象山县,121.85149,29.509744
象山县,121.946763,29.504284
象山县,121.9525,29.510936
象山县,121.941978,29.502015
象山县,121.830666,29.502424
象山县,121.948121,29.49322
象山县,121.832209,29.485811
象山县,121.76286,29.530301
象山县,121.748781,29.528543
象山县,121.690733,29.527813
象山县,121.736092,29.52045
象山县,121.66576,29.49927
象山县,121.658597,29.466462
